"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"291",93616,3,2020,"Elec- Commercial","Y",0,0,NA
"292",93618,1,2020,"Elec- Commercial","Y",0,0,NA
"293",93618,2,2020,"Elec- Commercial","Y",0,0,NA
"294",93618,3,2020,"Elec- Commercial","Y",0,0,NA
"295",93619,1,2020,"Elec- Commercial","Y",0,0,NA
"296",93619,2,2020,"Elec- Commercial","Y",0,0,NA
"297",93619,3,2020,"Elec- Commercial","Y",0,0,NA
"298",93620,1,2020,"Elec- Commercial","Y",0,0,NA
"299",93620,2,2020,"Elec- Commercial","Y",0,0,NA
"300",93620,3,2020,"Elec- Commercial","Y",0,0,NA
"301",93621,1,2020,"Elec- Commercial","Y",0,0,NA
"302",93621,2,2020,"Elec- Commercial","Y",0,0,NA
"303",93621,3,2020,"Elec- Commercial","Y",0,0,NA
"304",93622,1,2020,"Elec- Commercial","Y",0,0,NA
"305",93622,2,2020,"Elec- Commercial","Y",0,0,NA
"306",93622,3,2020,"Elec- Commercial","Y",0,0,NA
"307",93623,1,2020,"Elec- Commercial","Y",0,0,NA
"308",93623,2,2020,"Elec- Commercial","Y",0,0,NA
"309",93623,3,2020,"Elec- Commercial","Y",0,0,NA
"310",93625,1,2020,"Elec- Commercial","Y",0,0,NA
"311",93625,2,2020,"Elec- Commercial","Y",0,0,NA
"312",93625,3,2020,"Elec- Commercial","Y",0,0,NA
"313",93626,1,2020,"Elec- Commercial","Y",0,0,NA
"314",93626,2,2020,"Elec- Commercial","Y",0,0,NA
"315",93626,3,2020,"Elec- Commercial","Y",0,0,NA
"316",93627,1,2020,"Elec- Commercial","Y",0,0,NA
"317",93627,2,2020,"Elec- Commercial","Y",0,0,NA
"318",93627,3,2020,"Elec- Commercial","Y",0,0,NA
"319",93628,1,2020,"Elec- Commercial","Y",0,0,NA
"320",93628,2,2020,"Elec- Commercial","Y",0,0,NA
"321",93628,3,2020,"Elec- Commercial","Y",0,0,NA
"322",93630,1,2020,"Elec- Commercial","Y",0,0,NA
"323",93630,2,2020,"Elec- Commercial","Y",0,0,NA
"324",93630,3,2020,"Elec- Commercial","Y",0,0,NA
"325",93631,1,2020,"Elec- Commercial","Y",0,0,NA
"326",93631,2,2020,"Elec- Commercial","Y",0,0,NA
"327",93631,3,2020,"Elec- Commercial","Y",0,0,NA
"328",93633,1,2020,"Elec- Commercial","Y",0,0,NA
"329",93633,2,2020,"Elec- Commercial","Y",0,0,NA
"330",93633,3,2020,"Elec- Commercial","Y",0,0,NA
"331",93635,1,2020,"Elec- Commercial","Y",0,0,NA
"332",93635,2,2020,"Elec- Commercial","Y",0,0,NA
"333",93635,3,2020,"Elec- Commercial","Y",0,0,NA
"334",93636,1,2020,"Elec- Commercial","Y",0,0,NA
"335",93636,2,2020,"Elec- Commercial","Y",0,0,NA
"336",93636,3,2020,"Elec- Commercial","Y",0,0,NA
"337",93637,1,2020,"Elec- Commercial","N",1087,7913339,7280
"338",93637,2,2020,"Elec- Commercial","N",1086,6486431,5973
"339",93637,3,2020,"Elec- Commercial","N",1086,6336424,5835
"340",93638,1,2020,"Elec- Commercial","N",821,4729839,5761
"341",93638,2,2020,"Elec- Commercial","Y",1382,4773968,3454
"342",93638,3,2020,"Elec- Commercial","Y",1382,4788861,3465
"343",93640,1,2020,"Elec- Commercial","Y",286,1015715,3551
"344",93640,2,2020,"Elec- Commercial","Y",0,0,NA
"345",93640,3,2020,"Elec- Commercial","N",232,879964,3793
"346",93641,1,2020,"Elec- Commercial","Y",0,0,NA
"347",93641,2,2020,"Elec- Commercial","Y",0,0,NA
"348",93641,3,2020,"Elec- Commercial","Y",0,0,NA
"349",93643,1,2020,"Elec- Commercial","Y",0,0,NA
"350",93643,2,2020,"Elec- Commercial","Y",0,0,NA
"351",93643,3,2020,"Elec- Commercial","Y",0,0,NA
"352",93644,1,2020,"Elec- Commercial","Y",679,2974261,4380
"353",93644,2,2020,"Elec- Commercial","Y",1349,5118138,3794
"354",93644,3,2020,"Elec- Commercial","Y",678,2378900,3509
"355",93645,1,2020,"Elec- Commercial","Y",0,0,NA
"356",93645,2,2020,"Elec- Commercial","Y",0,0,NA
"357",93645,3,2020,"Elec- Commercial","Y",0,0,NA
"358",93646,1,2020,"Elec- Commercial","Y",355,1301541,3666
"359",93646,2,2020,"Elec- Commercial","Y",0,0,NA
"360",93646,3,2020,"Elec- Commercial","Y",352,1060579,3013
"361",93647,1,2020,"Elec- Commercial","Y",0,0,NA
"362",93647,2,2020,"Elec- Commercial","Y",0,0,NA
"363",93647,3,2020,"Elec- Commercial","Y",0,0,NA
"364",93648,1,2020,"Elec- Commercial","Y",0,0,NA
"365",93648,2,2020,"Elec- Commercial","Y",0,0,NA
"366",93648,3,2020,"Elec- Commercial","Y",0,0,NA
"367",93650,1,2020,"Elec- Commercial","N",186,825916,4440
"368",93650,2,2020,"Elec- Commercial","N",185,743822,4021
"369",93650,3,2020,"Elec- Commercial","N",184,743852,4043
"370",93651,1,2020,"Elec- Commercial","Y",0,0,NA
"371",93651,2,2020,"Elec- Commercial","Y",0,0,NA
"372",93651,3,2020,"Elec- Commercial","Y",0,0,NA
"373",93652,1,2020,"Elec- Commercial","Y",0,0,NA
"374",93652,2,2020,"Elec- Commercial","Y",0,0,NA
"375",93652,3,2020,"Elec- Commercial","Y",0,0,NA
"376",93653,1,2020,"Elec- Commercial","Y",0,0,NA
"377",93653,2,2020,"Elec- Commercial","Y",0,0,NA
"378",93653,3,2020,"Elec- Commercial","Y",0,0,NA
"379",93654,1,2020,"Elec- Commercial","N",641,3449297,5381
"380",93654,2,2020,"Elec- Commercial","Y",0,0,NA
"381",93654,3,2020,"Elec- Commercial","Y",0,0,NA
"382",93656,1,2020,"Elec- Commercial","Y",0,0,NA
"383",93656,2,2020,"Elec- Commercial","Y",0,0,NA
"384",93656,3,2020,"Elec- Commercial","Y",0,0,NA
"385",93657,1,2020,"Elec- Commercial","Y",964,5175205,5368
"386",93657,2,2020,"Elec- Commercial","Y",2151,8917863,4146
"387",93657,3,2020,"Elec- Commercial","Y",1605,7040395,4387
"388",93660,1,2020,"Elec- Commercial","Y",0,0,NA
"389",93660,2,2020,"Elec- Commercial","Y",0,0,NA
"390",93660,3,2020,"Elec- Commercial","Y",0,0,NA
"391",93662,1,2020,"Elec- Commercial","Y",0,0,NA
"392",93662,2,2020,"Elec- Commercial","Y",0,0,NA
